videoid,title,viewcount,likecount,commentcount
QOZzsnoAFmI,煩悩ネタ！『司会者のくせに全然しゃべらない奴』,82083,933,61
tL-bBLJkNYw,煩悩ネタ！『男子高校生のくせにアイドル目線の歌を作って歌う奴』,81994,939,61
1i0ICQySJeU,煩悩ネタ！『コントと現実の違いを見せる奴』,80348,959,31
F5xY1oQ_B_w,煩悩ネタ！『最終日にウィー!!っていう奴』,79713,1043,51
pfvQ4FKNsRk,煩悩ネタ！『鮎に屁を嗅がせる奴』,79229,1435,92
Oubha-cOc0g,煩悩ネタ！『ラグビー教える奴』,79166,1044,44
5ekbRJu1D7U,煩悩ネタ！『「風俗の待合室で会いましたよね？」って言う奴』,78486,1051,43
kBwLAHUcJf0,煩悩ネタ！『芸人やのに普通の青年の奴』,77711,983,56
_4eTDdvH8XA,煩悩ネタ！『怒り分散させる奴』,76832,1335,40
Fv8SVYtn_i0,煩悩ネタ！『対処はやい奴』,76473,908,30
tGze92-2T4A,煩悩ネタ！『言語覚える天才な奴』,76409,1091,54
PCc_wc2NgC8,煩悩ネタ！『「すいません、間違えました」と言ってるのに何回も入ってくる奴』,75661,1147,69
2NorcnGx1jY,煩悩ネタ！『ヒント与えない奴』,75113,853,58
dn3F3LxmAjg,煩悩ネタ！『怒るよりも恥ずかしさが勝る奴』,74386,1318,50
FXB0oi49ZaA,煩悩ネタ！『圧だけで相手に言わせる奴』,74090,923,57
S67w6J5xIwE,煩悩ネタ！『本番だけ滑舌悪い奴』,72708,937,53
JsC_Pbo5080,煩悩ネタ！『軽い知り合いにゲップしてるとこ見られる奴』,72660,711,31
JwitusvvMmQ,煩悩ネタ！『海よりのバックコーラスな奴』,71646,1387,85
vLAE_zIee-M,煩悩ネタ！『服でっか、声小さっ！な奴』,68498,837,28
HnIry6R0n8A,煩悩ネタ！『司会者のくせにめっちゃしゃべる奴』,65838,744,67
G7Oq41qCk9E,煩悩ネタ！『カラオケで校歌を歌う奴』,65731,775,60
3M6KRZ9p8i0,煩悩ネタ！『ちゃう奴呼んでもた奴』,64778,718,33
b4hUUybCGuc,煩悩ネタ！『クリフハンガーっていうゲームやる奴』,64252,806,39
X-c7t-MFrPk,煩悩ネタ！『アフリカの奥地から来た奴』,63350,869,45
5xekfCW_k08,煩悩ネタ！『老人ホームでラップする奴』,63249,896,57
E2Jto-HP8wg,煩悩ネタ！『歌うんハズい奴』,63178,913,53
aqXS_TcYqhA,煩悩ネタ！『夜中、学校に忍び込んで校歌を歌う奴』,63166,853,41
vuM502i238g,煩悩ネタ！『大丈夫じゃないのに大丈夫ですって言う奴』,60209,798,40
GnZIzfOHOsI,煩悩ネタ！『軽い知り合いに屁してるとこ見られる奴』,59279,581,30
nWw5hU1HA04,煩悩ネタ！『久々に大人に怒られた奴』,58313,696,38
1yUoU1Gr_zE,煩悩ネタ！『財布拾ってくれた御礼にパソコンあげる奴』,57975,668,46
ss2Mhnw7ScA,煩悩ネタ！『チャゲちゃう奴』,57182,795,67
Qzs9zf8MBgs,煩悩ネタ！『路上でイタズラする奴』,56636,990,54
WHMenDYvNAI,煩悩ネタ！『ゲップを添えて驚く奴』,54798,642,53
ziookS6NzCg,煩悩ネタ！『最後にタップダンス踊る奴』,49799,654,33
GDhnSnD99vo,煩悩ネタ！『宇宙人と交信できたと思った奴』,47647,573,26
cTi_NVe40Go,煩悩ネタ！『珍しい形でファンに支持されてる歌手な奴』,45575,522,22
8562Gw23l7w,煩悩ネタ！『キャラ濃いくせに取材NGな奴』,28089,568,52
FrOQDo7jgdg,煩悩ネタ！『声でっか、服小さっ！な奴』,25784,523,26
